V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26
1	1	11	11	11	1	9	10	10	0.9	9	9	9	1	10	13	13	0.769230769230769	13	14	14	0.928571428571429	12	12	12	1
540	0	10	11	11	0.909090909090909	9	10	10	0.9	13	13	13	1	7	8	8	0.875	12	13	13	0.923076923076923	8	10	10	0.8
698	1	6	6	6	1	12	12	12	1	15	15	15	1	12	12	12	1	8	8	8	1	14	14	14	1
925	0	4	5	5	0.8	13	14	14	0.928571428571429	8	8	8	1	12	15	15	0.8	12	12	12	1	10	10	10	1
967	1	11	11	11	1	4	4	4	1	6	7	7	0.857142857142857	6	7	7	0.857142857142857	14	14	14	1	5	7	7	0.714285714285714
1585	1	11	12	12	0.916666666666667	7	11	11	0.636363636363636	5	6	6	0.833333333333333	8	8	8	1	8	8	8	1	8	8	8	1
1588	1	8	8	8	1	10	11	11	0.909090909090909	11	11	11	1	10	11	11	0.909090909090909	10	11	11	0.909090909090909	11	12	12	0.916666666666667
1596	1	10	12	12	0.833333333333333	11	15	15	0.733333333333333	9	12	12	0.75	13	14	14	0.928571428571429	6	6	6	1	7	7	7	1
1952	1	8	8	8	1	7	9	9	0.777777777777778	7	10	10	0.7	8	9	9	0.888888888888889	13	15	15	0.866666666666667	6	7	7	0.857142857142857
2199	0	9	9	9	1	8	10	10	0.8	11	12	12	0.916666666666667	18	18	18	1	10	10	10	1	9	9	9	1
2578	1	12	14	14	0.857142857142857	12	15	15	0.8	10	11	11	0.909090909090909	6	6	6	1	12	15	15	0.8	6	6	6	1
2802	1	7	9	9	0.777777777777778	9	11	11	0.818181818181818	11	12	12	0.916666666666667	8	10	10	0.8	6	7	7	0.857142857142857	6	6	6	1
3457	0	8	10	10	0.8	14	16	16	0.875	6	6	6	1	6	6	6	1	10	10	10	1	7	9	9	0.777777777777778
