V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26
1	1	7	8	8	0.875	6	6	6	1	5	6	6	0.833333333333333	8	8	8	1	7	7	7	1	12	13	13	0.923076923076923
211	1	11	12	12	0.916666666666667	9	12	12	0.75	7	9	9	0.777777777777778	9	11	11	0.818181818181818	9	9	9	1	9	9	9	1
383	1	9	11	11	0.818181818181818	11	13	13	0.846153846153846	11	11	11	1	11	12	12	0.916666666666667	7	8	8	0.875	10	11	11	0.909090909090909
477	0	8	8	8	1	10	11	11	0.909090909090909	6	6	6	1	7	7	7	1	6	8	8	0.75	10	13	13	0.769230769230769
1275	1	10	11	11	0.909090909090909	10	10	10	1	10	10	10	1	13	13	13	1	8	9	9	0.888888888888889	10	10	10	1
1539	1	7	7	7	1	10	10	10	1	10	10	10	1	8	10	10	0.8	11	11	11	1	7	7	7	1
1547	0	9	10	10	0.9	8	9	9	0.888888888888889	9	9	9	1	9	10	10	0.9	7	7	7	1	12	13	13	0.923076923076923
1554	0	15	16	16	0.9375	9	9	9	1	9	9	9	1	14	15	15	0.933333333333333	6	6	6	1	7	7	7	1
1567	0	9	9	9	1	11	12	12	0.916666666666667	10	10	10	1	12	15	15	0.8	7	7	7	1	10	11	11	0.909090909090909
1570	0	8	9	9	0.888888888888889	12	14	14	0.857142857142857	13	15	15	0.866666666666667	9	10	10	0.9	6	6	6	1	7	7	7	1
1581	0	10	10	10	1	9	11	11	0.818181818181818	11	13	13	0.846153846153846	9	9	9	1	10	11	11	0.909090909090909	6	8	8	0.75
1737	0	13	13	13	1	9	11	11	0.818181818181818	12	13	13	0.923076923076923	9	9	9	1	11	14	14	0.785714285714286	10	11	11	0.909090909090909
2003	0	3	5	5	0.6	7	9	9	0.777777777777778	10	13	13	0.769230769230769	7	7	7	1	7	7	7	1	7	7	7	1
2139	1	7	7	7	1	1	3	3	0.333333333333333	8	12	12	0.666666666666667	10	10	10	1	6	7	7	0.857142857142857	6	6	6	1
2198	1	11	12	12	0.916666666666667	10	13	13	0.769230769230769	3	4	4	0.75	7	8	8	0.875	19	20	20	0.95	6	7	7	0.857142857142857
2906	0	10	11	11	0.909090909090909	10	11	11	0.909090909090909	10	10	10	1	10	11	11	0.909090909090909	8	10	10	0.8	12	12	12	1
2915	0	10	10	10	1	8	8	8	1	11	11	11	1	9	9	9	1	10	11	11	0.909090909090909	13	15	15	0.866666666666667
2918	0	15	15	15	1	13	13	13	1	6	10	10	0.6	13	14	14	0.928571428571429	8	11	11	0.727272727272727	8	9	9	0.888888888888889
2932	0	8	8	8	1	7	9	9	0.777777777777778	12	13	13	0.923076923076923	10	11	11	0.909090909090909	10	12	12	0.833333333333333	11	11	11	1
2945	1	4	7	7	0.571428571428571	10	12	12	0.833333333333333	7	9	9	0.777777777777778	6	7	7	0.857142857142857	8	9	9	0.888888888888889	14	15	15	0.933333333333333
3359	0	8	9	9	0.888888888888889	13	13	13	1	10	10	10	1	6	7	7	0.857142857142857	10	11	11	0.909090909090909	14	14	14	1
3554	1	7	8	8	0.875	9	11	11	0.818181818181818	9	12	12	0.75	3	3	3	1	4	4	4	1	6	7	7	0.857142857142857
3651	1	15	17	17	0.882352941176471	8	8	8	1	10	11	11	0.909090909090909	12	14	14	0.857142857142857	6	6	6	1	6	7	7	0.857142857142857
3687	1	12	12	12	1	9	11	11	0.818181818181818	11	14	14	0.785714285714286	8	9	9	0.888888888888889	10	11	11	0.909090909090909	9	11	11	0.818181818181818
3692	0	8	9	9	0.888888888888889	12	12	12	1	10	11	11	0.909090909090909	9	11	11	0.818181818181818	8	8	8	1	11	12	12	0.916666666666667
3696	1	8	10	10	0.8	6	7	7	0.857142857142857	8	8	8	1	11	11	11	1	12	12	12	1	9	9	9	1
3698	0	9	9	9	1	7	8	8	0.875	6	8	8	0.75	9	10	10	0.9	8	8	8	1	10	11	11	0.909090909090909
3718	1	13	13	13	1	13	15	15	0.866666666666667	10	12	12	0.833333333333333	9	10	10	0.9	7	8	8	0.875	7	8	8	0.875
3772	1	9	10	10	0.9	10	11	11	0.909090909090909	11	13	13	0.846153846153846	10	11	11	0.909090909090909	14	14	14	1	6	7	7	0.857142857142857
4084	0	13	13	13	1	12	12	12	1	12	12	12	1	12	13	13	0.923076923076923	7	7	7	1	5	6	6	0.833333333333333
4260	0	15	16	16	0.9375	14	14	14	1	13	13	13	1	12	12	12	1	7	7	7	1	9	9	9	1
4666	1	7	9	9	0.777777777777778	6	7	7	0.857142857142857	8	9	9	0.888888888888889	7	8	8	0.875	11	11	11	1	6	7	7	0.857142857142857
4932	0	14	15	15	0.933333333333333	10	11	11	0.909090909090909	8	8	8	1	7	7	7	1	11	11	11	1	15	15	15	1
5486	1	10	11	11	0.909090909090909	11	11	11	1	8	10	10	0.8	12	13	13	0.923076923076923	11	13	13	0.846153846153846	6	6	6	1
